transfer date,month,day,transfer season,from club name,to club name,transfer fee,market value,player name,country,position,team,league,age,birth year,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
2024,8,16,24/25,Aston Villa,Southampton,17600000,13000000,Cameron Archer,ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,29,21,1832,20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,33,15,113,0.2,0.05,0.25,0.2,0.25,0.27,0.14,0.41,0.27,0.41
2024,8,13,24/25,Man Utd,West Ham,17600000,20000000,Aaron Wan,ENG,DF,Manchester Utd,eng Premier League,25,1997,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30,77,54,0,0.1,0.1,0,0.1,0.01,0.08,0.08,0.01,0.08
2024,7,11,24/25,Sheff Utd,Aston Villa,16650000,13000000,Cameron Archer,ENG,"FW,MF",Sheffield Utd,eng Premier League,22,2001,29,21,1832,20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,33,15,113,0.2,0.05,0.25,0.2,0.25,0.27,0.14,0.41,0.27,0.41
2024,7,1,24/25,Getafe,Bournemouth,16500000,18000000,Enes Ünal,TUR,"FW,MF",Bournemouth,eng Premier League,26,1997,16,2,328,3.6,2,2,4,2,0,0,1,0,2.9,2.9,1,3.9,4,7,28,0.55,0.55,1.1,0.55,1.1,0.8,0.28,1.07,0.8,1.07
2024,7,1,24/25,Paris SG,E. Frankfurt,16500000,20000000,Hugo Ekitiké,FRA,FW,Paris S-G,fr Ligue 1,21,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0.3,0.3,0,0.3
2024,8,11,24/25,Toulouse,Monaco,16000000,9000000,Christian Mawissa,FRA,DF,Toulouse,fr Ligue 1,18,2005,17,12,1118,12.4,2,0,2,2,0,0,3,0,1,1,0.3,1.3,26,39,11,0.16,0,0.16,0.16,0.16,0.08,0.02,0.1,0.08,0.1
2024,7,1,24/25,Hellas Verona,Lazio,15900000,10000000,Tijjani Noslin,NED,"FW,MF",Hellas Verona,it Serie A,24,1999,17,17,1339,14.9,5,4,9,5,0,0,2,0,3.6,3.6,2.2,5.8,29,26,94,0.34,0.27,0.6,0.34,0.6,0.24,0.14,0.39,0.24,0.39
2024,7,30,24/25,Juventus,Bournemouth,15200000,10000000,Dean Huijsen,ESP,DF,Roma,it Serie A,18,2005,13,4,509,5.7,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,4,18,15,0.35,0,0.35,0.35,0.35,0.07,0.01,0.08,0.07,0.08
2025,1,12,24/25,Olympique Lyon,Como,15000000,15000000,Maxence Caqueret,FRA,MF,Lyon,fr Ligue 1,23,2000,34,34,3022,33.6,1,3,4,1,0,0,1,0,2.1,2.1,6,8.1,70,286,96,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24
2024,8,23,24/25,Atlético Madrid,FC Porto,15000000,35000000,Samu Aghehowa,ESP,FW,Alavés,es La Liga,19,2004,34,21,1918,21.3,8,1,9,8,0,0,6,0,10.8,10.8,1.3,12,30,18,100,0.38,0.05,0.42,0.38,0.42,0.51,0.06,0.56,0.51,0.56
2024,8,13,24/25,Bayern Munich,Man Utd,15000000,30000000,Noussair Mazraoui,MAR,DF,Bayern Munich,de Bundesliga,25,1997,19,15,1197,13.3,0,3,3,0,0,0,3,0,0.9,0.9,1.8,2.6,34,103,79,0,0.23,0.23,0,0.23,0.07,0.13,0.2,0.07,0.2
2024,8,12,24/25,Tottenham,AC Milan,15000000,18000000,Emerson Royal,BRA,DF,Tottenham,eng Premier League,24,1999,22,11,1161,12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35,0.08,0,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05
2024,8,1,24/25,Marseille,Crystal Palace,15000000,18000000,Ismaïla Sarr,SEN,"FW,MF",Marseille,fr Ligue 1,25,1998,23,15,1447,16.1,3,4,7,3,0,0,1,0,3.2,3.2,2.5,5.7,49,36,152,0.19,0.25,0.44,0.19,0.44,0.2,0.15,0.35,0.2,0.35
2024,7,30,24/25,FC Metz,Monaco,15000000,10000000,Lamine Camara,SEN,MF,Metz,fr Ligue 1,19,2004,31,26,2255,25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23,97,69,0.04,0.16,0.2,0.04,0.2,0.09,0.13,0.22,0.06,0.19
2024,7,23,24/25,Toulouse,Bologna,15000000,18000000,Thijs Dallinga,NED,FW,Toulouse,fr Ligue 1,22,2000,33,28,2510,27.9,14,2,16,13,1,3,6,0,14.1,11.8,1.2,13,32,38,164,0.5,0.07,0.57,0.47,0.54,0.51,0.04,0.55,0.42,0.47
2024,7,19,24/25,Lecce,Fiorentina,15000000,7000000,Marin Pongračić,CRO,DF,Lecce,it Serie A,25,1997,36,36,3219,35.8,0,0,0,0,0,0,10,1,1.2,1.2,0.4,1.5,45,134,7,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
2024,7,2,24/25,Real Betis,Crystal Palace,15000000,15000000,Chadi Riad,MAR,DF,Betis,es La Liga,20,2003,26,24,2164,24,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,4,34,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
2024,7,1,24/25,Stade Rennais,B. Leverkusen,15000000,10000000,Jeanuël Belocian,FRA,DF,Rennes,fr Ligue 1,18,2005,23,16,1448,16.1,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,16,60,37,0,0.06,0.06,0,0.06,0.03,0.02,0.06,0.03,0.06
2024,7,1,24/25,West Ham,Olympique Lyon,14400000,20000000,Saïd Benrahma,ALG,"FW,MF",West Ham,eng Premier League,27,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1,1.4,2.5,28,28,70,0,0.15,0.15,0,0.15,0.27,0.21,0.47,0.15,0.36
2024,8,25,24/25,Burnley,Ipswich,14200000,7000000,Dara O'Shea,IRL,DF,Burnley,eng Premier League,24,1999,33,32,2892,32.1,3,4,7,3,0,0,5,1,0.7,0.7,2,2.7,32,122,10,0.09,0.12,0.22,0.09,0.22,0.02,0.06,0.08,0.02,0.08
2025,1,8,24/25,Lens,Stade Rennais,14000000,15000000,Brice Samba,FRA,GK,Lens,fr Ligue 1,29,1994,33,33,2970,33,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0,4,0,0,0,0,0,0,0,0.01,0.01,0,0.01
2024,8,30,24/25,Brighton,Napoli,14000000,18000000,Billy Gilmour,SCO,MF,Brighton,eng Premier League,22,2001,30,24,2120,23.6,0,1,1,0,0,0,8,1,1,1,2,3,39,193,33,0,0.04,0.04,0,0.04,0.04,0.09,0.13,0.04,0.13
2024,7,9,24/25,Atalanta BC,Leicester,14000000,8000000,Caleb Okoli,ITA,DF,Frosinone,it Serie A,22,2001,34,32,2914,32.4,0,1,1,0,0,0,9,0,0.6,0.6,0.8,1.4,22,118,4,0,0.03,0.03,0,0.03,0.02,0.02,0.04,0.02,0.04
2024,7,1,24/25,Juventus,Aston Villa,14000000,13000000,Samuel Iling,ENG,"DF,MF",Juventus,it Serie A,19,2003,24,4,810,9,1,2,3,1,0,0,1,0,0.7,0.7,1.3,2,29,25,64,0.11,0.22,0.33,0.11,0.33,0.08,0.14,0.23,0.08,0.23
2024,7,9,24/25,Genoa,Inter,13500000,8000000,Josep Martínez,ESP,GK,Genoa,it Serie A,25,1998,36,36,3239,36,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2024,7,1,24/25,Monza,Inter,13250000,22000000,Carlos Augusto,BRA,DF,Inter,it Serie A,24,1999,37,14,1725,19.2,0,3,3,0,0,0,1,0,1,1,2.8,3.9,42,54,88,0,0.16,0.16,0,0.16,0.05,0.15,0.2,0.05,0.2
2025,2,3,24/25,Celta de Vigo,Como,13000000,5000000,Anastasios Douvikas,GRE,FW,Celta Vigo,es La Liga,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,4.6,4.6,1.3,5.9,10,13,53,0.7,0.1,0.8,0.7,0.8,0.46,0.13,0.59,0.46,0.59
2025,2,3,24/25,VfB Stuttgart,Stade Rennais,13000000,10000000,Anthony Rouault,FRA,DF,Stuttgart,de Bundesliga,22,2001,22,11,1010,11.2,0,2,2,0,0,0,3,0,0.1,0.1,0.8,0.9,8,68,10,0,0.18,0.18,0,0.18,0.01,0.07,0.08,0.01,0.08
2025,2,2,24/25,Stade Rennais,E. Frankfurt,13000000,20000000,Arthur Theate,BEL,DF,Rennes,fr Ligue 1,23,2000,28,27,2296,25.5,2,0,2,2,0,0,4,0,1.9,1.9,0.8,2.7,33,151,24,0.08,0,0.08,0.08,0.08,0.07,0.03,0.11,0.07,0.11
2025,2,2,24/25,Chelsea,Torino,13000000,10000000,Cesare Casadei,ITA,"FW,MF",Chelsea,eng Premier League,20,2003,11,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,3,0,0,0,0,0,0,0.12,0.12,0,0.12
2024,7,19,24/25,Atlético Madrid,AC Milan,13000000,16000000,Álvaro Morata,ESP,FW,Atlético Madrid,es La Liga,30,1992,32,21,1904,21.2,15,3,18,15,0,1,4,1,13.8,12.9,1.7,14.6,22,20,88,0.71,0.14,0.85,0.71,0.85,0.65,0.08,0.73,0.61,0.69
2024,7,9,24/25,Juventus,Fiorentina,13000000,14000000,Moise Kean,ITA,FW,Juventus,it Serie A,23,2000,19,8,654,7.3,0,0,0,0,0,0,2,0,2.1,2.1,0.7,2.8,12,6,38,0,0,0,0,0,0.28,0.1,0.38,0.28,0.38
2024,7,1,24/25,Marseille,Lazio,13000000,25000000,Mattéo Guendouzi,FRA,MF,Lazio,it Serie A,24,1999,33,27,2367,26.3,2,3,5,2,0,0,3,1,1.6,1.6,2.3,3.9,46,119,79,0.08,0.11,0.19,0.08,0.19,0.06,0.09,0.15,0.06,0.15
2024,7,1,24/25,Granada CF,Bayern Munich,13000000,12000000,Bryan Zaragoza,ESP,"MF,FW",Granada,es La Liga,22,2001,21,18,1638,18.2,6,2,8,5,1,1,5,0,3.8,3,3.3,6.3,100,36,127,0.33,0.11,0.44,0.27,0.38,0.21,0.18,0.39,0.16,0.35
2024,7,1,24/25,Ajax,FC Metz,13000000,15000000,Georges Mikautadze,GEO,FW,Metz,fr Ligue 1,22,2000,20,20,1747,19.4,13,4,17,10,3,3,0,1,9.5,7.2,2.4,9.5,52,51,95,0.67,0.21,0.88,0.52,0.72,0.49,0.12,0.61,0.37,0.49
2024,7,18,24/25,Hellas Verona,Juventus,12800000,3500000,Juan Cabal,COL,DF,Hellas Verona,it Serie A,22,2001,22,17,1497,16.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,26,70,48,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
2024,7,18,24/25,Fiorentina,Nottm Forest,12300000,15000000,Nikola Milenković,SRB,DF,Fiorentina,it Serie A,25,1997,34,27,2510,27.9,0,0,0,0,0,0,4,0,0.4,0.4,0.7,1.1,8,81,10,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
2025,1,7,24/25,Real Betis,Como,12000000,9000000,Assane Diao,ESP,FW,Betis,es La Liga,17,2005,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,33,20,101,0.17,0,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28
2024,8,29,24/25,Juventus,Liverpool,12000000,35000000,Federico Chiesa,ITA,FW,Juventus,it Serie A,25,1997,33,25,2197,24.4,9,2,11,8,1,1,1,0,6.4,5.6,6.2,11.9,111,70,216,0.37,0.08,0.45,0.33,0.41,0.26,0.25,0.52,0.23,0.49
2024,7,10,24/25,Real Madrid,Napoli,12000000,7500000,Rafa Marín,ESP,DF,Alavés,es La Liga,21,2002,33,27,2443,27.1,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1,13,77,6,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
2024,7,1,24/25,Everton,Atalanta BC,12000000,10000000,Ben Godfrey,ENG,DF,Everton,eng Premier League,25,1998,15,13,1120,12.4,0,0,0,0,0,0,2,0,1.7,1.7,0.3,2,11,43,26,0,0,0,0,0,0.14,0.02,0.16,0.14,0.16
2024,7,1,24/25,Montpellier,Burnley,12000000,7000000,Maxime Estève,FRA,DF,Burnley,eng Premier League,21,2002,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,15,40,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02
2024,8,30,24/25,Crystal Palace,Wolves,11900000,10000000,Sam Johnstone,ENG,GK,Crystal Palace,eng Premier League,30,1993,20,20,1796,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,1,24/25,Everton,Aston Villa,11800000,2500000,Lewis Dobbin,ENG,MF,Everton,eng Premier League,20,2003,12,1,232,2.6,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,3,20,0.39,0,0.39,0.39,0.39,0.11,0.19,0.3,0.11,0.3
2024,8,8,24/25,Sheff Utd,Newcastle,11600000,3000000,William Osula,DEN,FW,Sheffield Utd,eng Premier League,19,2003,21,9,786,8.7,0,0,0,0,0,0,4,0,1.6,1.6,0.1,1.7,7,2,41,0,0,0,0,0,0.19,0.01,0.2,0.19,0.2
2025,1,23,24/25,Aston Villa,Fenerbahce,11470000,11000000,Diego Carlos,BRA,DF,Aston Villa,eng Premier League,30,1993,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2,4,59,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1
2024,8,30,24/25,FC Augsburg,Celtic,11000000,9000000,Arne Engels,BEL,"MF,DF",Augsburg,de Bundesliga,19,2003,32,13,1405,15.6,3,2,5,3,0,0,1,1,1.8,1.8,1.2,3,23,52,62,0.19,0.13,0.32,0.19,0.32,0.12,0.08,0.19,0.12,0.19
2024,7,1,24/25,West Ham,Monaco,11000000,10000000,Thilo Kehrer,GER,"DF,MF",West Ham,eng Premier League,26,1996,4,0,22,0.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2024,7,1,24/25,Bologna,Inter,10900000,4000000,Marko Arnautovic,AUT,FW,Inter,it Serie A,34,1989,27,5,801,8.9,5,3,8,5,0,0,0,0,5,5,2.6,7.6,12,20,77,0.56,0.34,0.9,0.56,0.9,0.56,0.29,0.85,0.56,0.85
2024,7,1,24/25,Aston Villa,Everton,10700000,4000000,Tim Iroegbunam,ENG,MF,Aston Villa,eng Premier League,20,2003,9,1,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2024,7,1,24/25,FC Lorient,Marseille,10500000,6000000,Bamo Meïté,CIV,DF,Marseille,fr Ligue 1,21,2001,16,6,638,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,11,29,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01
2025,2,3,24/25,Monza,AC Milan,10000000,7000000,Warren Bondo,FRA,MF,Monza,it Serie A,19,2003,25,14,1475,16.4,1,1,2,1,0,0,9,0,0.9,0.9,0.3,1.2,31,43,13,0.06,0.06,0.12,0.06,0.12,0.06,0.02,0.08,0.06,0.08
2025,2,1,24/25,Monza,Atalanta BC,10000000,6000000,Daniel Maldini,ITA,"MF,FW",Monza,it Serie A,21,2001,11,2,333,3.7,4,1,5,4,0,0,0,0,1.3,1.3,1.2,2.4,15,10,22,1.08,0.27,1.35,1.08,1.35,0.34,0.31,0.65,0.34,0.65
2024,8,22,24/25,Olympique Lyon,R. Strasbourg,10000000,1000000,Mamadou Sarr,FRA,DF,Lyon,fr Ligue 1,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,8,13,24/25,Barcelona,Bournemouth,10000000,8000000,Julian Araujo,MEX,DF,Las Palmas,es La Liga,21,2001,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,23,74,47,0.06,0,0.06,0.06,0.06,0.04,0.07,0.11,0.04,0.11
2024,7,15,24/25,Man Utd,Villarreal,10000000,5000000,Willy Kambwala,FRA,DF,Manchester Utd,eng Premier League,18,2004,8,3,330,3.7,0,0,0,0,0,0,1,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0
2024,7,12,24/25,Atalanta BC,Bologna,10000000,7000000,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,it Serie A,22,2000,37,29,2553,28.4,1,1,2,1,0,0,3,0,3.9,3.9,2.8,6.7,128,63,197,0.04,0.04,0.07,0.04,0.07,0.14,0.1,0.24,0.14,0.24
2024,7,3,24/25,Stade Rennais,FC Nantes,10000000,6000000,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2,5.8,28,20,87,0.43,0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5
2024,7,17,24/25,Burnley,Ipswich,9550000,7000000,Arijanet Muric,KVX,GK,Burnley,eng Premier League,24,1998,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02
2025,2,3,24/25,Hellas Verona,Lazio,9500000,10000000,Reda Belahyane,FRA,MF,Hellas Verona,it Serie A,19,2004,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0.03,0,0.03,0.03,0.03
2024,8,28,24/25,Luton,Ipswich,9500000,8000000,Chiedozie Ogbene,IRL,"MF,DF",Luton Town,eng Premier League,26,1997,30,20,1995,22.2,4,1,5,4,0,0,1,0,4.2,4.2,3.1,7.4,127,53,150,0.18,0.05,0.23,0.18,0.23,0.19,0.14,0.33,0.19,0.33
2025,1,2,24/25,Olympique Lyon,TSG Hoffenheim,9000000,10000000,Gift Orban,NGA,FW,Lyon,fr Ligue 1,21,2002,13,5,474,5.3,1,0,1,1,0,0,2,0,1.1,1.1,0,1.1,8,6,33,0.19,0,0.19,0.19,0.19,0.21,0,0.21,0.21,0.21
2024,8,27,24/25,Burnley,VfB Stuttgart,9000000,12000000,Ameen Al,BEL,DF,Burnley,eng Premier League,21,2002,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7,35,9,0.09,0,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12
2024,8,12,24/25,Stade Reims,Fiorentina,9000000,6000000,Amir Richardson,MAR,MF,Reims,fr Ligue 1,21,2002,28,14,1352,15,3,1,4,3,0,0,4,0,1.6,1.6,1.1,2.8,28,72,40,0.2,0.07,0.27,0.2,0.27,0.11,0.08,0.18,0.11,0.18
2024,7,12,24/25,Man City,Real Sociedad,9000000,10000000,Sergio Gómez,ESP,"FW,MF",Manchester City,eng Premier League,22,2000,6,0,53,0.6,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,4,2,4,0,1.7,1.7,0,1.7,0.41,0.31,0.73,0.41,0.73
2024,7,1,24/25,Barcelona,Real Betis,9000000,15000000,Chadi Riad,MAR,DF,Betis,es La Liga,20,2003,26,24,2164,24,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,4,34,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
2024,7,1,24/25,Atalanta BC,Torino,8600000,8000000,Duván Zapata,COL,FW,Torino,it Serie A,32,1991,35,34,2880,32,12,4,16,12,0,0,2,0,10.9,10.9,3,13.9,74,52,242,0.37,0.12,0.5,0.37,0.5,0.34,0.09,0.43,0.34,0.43
2024,8,27,24/25,Lecce,TSG Hoffenheim,8500000,7000000,Valentin Gendrey,FRA,DF,Lecce,it Serie A,23,2000,37,35,3044,33.8,2,3,5,2,0,0,5,0,1.6,1.6,1.6,3.2,76,116,86,0.06,0.09,0.15,0.06,0.15,0.05,0.05,0.1,0.05,0.1
2024,7,10,24/25,Sassuolo,Cruzeiro,8500000,8500000,Matheus Henrique,BRA,MF,Sassuolo,it Serie A,25,1997,31,27,2501,27.8,2,2,4,2,0,0,8,1,2.3,2.3,1.6,3.9,43,94,44,0.07,0.07,0.14,0.07,0.14,0.08,0.06,0.14,0.08,0.14
2024,7,1,24/25,Atlético Madrid,Fenerbahce,8500000,10000000,Çağlar Söyüncü,TUR,DF,Atlético Madrid,es La Liga,27,1996,6,1,114,1.3,0,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
2024,7,1,24/25,Salernitana,Lazio,8450000,8000000,Loum Tchaouna,FRA,"FW,MF",Salernitana,it Serie A,19,2003,33,23,2100,23.3,4,3,7,4,0,0,4,0,2.6,2.6,1.5,4.1,72,59,151,0.17,0.13,0.3,0.17,0.3,0.11,0.06,0.18,0.11,0.18
2024,7,1,24/25,Marseille,Genoa,8300000,14000000,Vitinha,POR,"FW,MF",Genoa,it Serie A,23,2000,9,2,285,3.2,2,0,2,2,0,0,2,0,1.1,1.1,0.1,1.3,10,4,21,0.63,0,0.63,0.63,0.63,0.36,0.04,0.4,0.36,0.4
2024,7,1,24/25,Lazio,UD Almería,8100000,5000000,Luís Maximiano,POR,GK,Almería,es La Liga,24,1999,33,33,2970,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7,10,24/25,Udinese Calcio,Cruzeiro,8000000,6000000,Walace,BRA,MF,Udinese,it Serie A,28,1995,37,37,3238,36,2,0,2,2,0,0,7,0,0.8,0.8,1.1,1.9,37,127,22,0.06,0,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05
2024,7,5,24/25,Real Betis,Olympique Lyon,8000000,7000000,Abner,BRA,DF,Betis,es La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1,1.1,14,33,58,0,0.06,0.06,0,0.06,0.01,0.06,0.07,0.01,0.07
2024,7,1,24/25,Cagliari,Como,8000000,5000000,Alberto Dossena,ITA,DF,Cagliari,it Serie A,24,1998,35,33,2977,33.1,2,4,6,2,0,0,5,0,2.2,2.2,2.1,4.3,9,89,2,0.06,0.12,0.18,0.06,0.18,0.07,0.06,0.13,0.07,0.13
2024,7,1,24/25,Juventus,Genoa,8000000,12000000,Koni De Winter,BEL,DF,Genoa,it Serie A,21,2002,29,26,2380,26.4,0,1,1,0,0,0,8,1,0.8,0.8,1,1.8,21,76,15,0,0.04,0.04,0,0.04,0.03,0.04,0.07,0.03,0.07
2024,7,1,24/25,Pisa,Udinese,8000000,12000000,Lorenzo Lucca,ITA,FW,Udinese,it Serie A,22,2000,37,30,2592,28.8,8,4,12,8,0,0,6,0,7.8,7.8,1.6,9.4,10,18,118,0.28,0.14,0.42,0.28,0.42,0.27,0.06,0.33,0.27,0.33
2024,7,1,24/25,Juventus,Aston Villa,8000000,7500000,Enzo Barrenechea,ARG,MF,Frosinone,it Serie A,22,2001,36,32,2811,31.2,0,1,1,0,0,0,10,0,0.6,0.6,1.7,2.3,10,155,24,0,0.03,0.03,0,0.03,0.02,0.05,0.07,0.02,0.07
2024,7,1,24/25,Spezia Calcio,Bologna,7700000,12000000,Emil Holm,SWE,DF,Atalanta,it Serie A,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,2.7,2.7,0.8,3.6,28,27,80,0.1,0.1,0.19,0.1,0.19,0.26,0.08,0.34,0.26,0.34
2024,7,17,24/25,UD Las Palmas,Torino,7500000,8000000,Saúl Coco,EQG,DF,Las Palmas,es La Liga,24,1999,30,26,2295,25.5,1,0,1,1,0,0,6,1,1.1,1.1,0,1.1,9,69,1,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04
2024,7,17,24/25,Cagliari,Atalanta BC,7500000,4000000,Ibrahim Sulemana,GHA,MF,Cagliari,it Serie A,20,2003,21,16,1339,14.9,2,0,2,2,0,0,4,0,0.8,0.8,0.1,0.9,15,27,14,0.13,0,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06
2024,7,10,24/25,Juventus,Cruzeiro,7200000,4000000,Kaio Jorge,BRA,FW,Frosinone,it Serie A,21,2002,20,8,812,9,3,0,3,2,1,2,2,0,5.4,3.8,0.3,4.2,6,11,46,0.33,0,0.33,0.22,0.22,0.6,0.03,0.64,0.43,0.46
2024,8,30,24/25,Sheff Utd,Celtic,7100000,7000000,Auston Trusty,USA,DF,Sheffield Utd,eng Premier League,24,1998,32,28,2572,28.6,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,10,40,15,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05
2024,8,1,24/25,Brighton,Bor. Dortmund,7000000,8000000,Pascal Groß,GER,"MF,DF",Brighton,eng Premier League,32,1991,36,34,3114,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4
2024,7,1,24/25,Heidenheim,Bor. M'gladbach,7000000,6000000,Tim Kleindienst,GER,FW,Heidenheim,de Bundesliga,27,1995,33,33,2869,31.9,12,3,15,10,2,2,6,0,13.9,12.3,3.3,15.6,40,73,178,0.38,0.09,0.47,0.31,0.41,0.44,0.1,0.54,0.39,0.49
2024,7,1,24/25,Athletic,Celta de Vigo,7000000,7000000,Unai Núñez,ESP,DF,Celta Vigo,es La Liga,26,1997,34,31,2801,31.1,1,0,1,1,0,0,4,0,1.4,1.4,0.8,2.2,10,106,2,0.03,0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07
2024,8,3,24/25,Villarreal,Fulham,6700000,6000000,Jorge Cuenca,ESP,DF,Villarreal,es La Liga,23,1999,29,21,1963,21.8,3,1,4,3,0,0,7,0,1.2,1.2,0.2,1.5,11,78,30,0.14,0.05,0.18,0.14,0.18,0.06,0.01,0.07,0.06,0.07
2024,7,21,24/25,Alavés,Real Sociedad,6500000,7500000,Javi López,ESP,DF,Alavés,es La Liga,21,2002,32,25,2386,26.5,1,3,4,1,0,0,3,0,0.9,0.9,3,4,53,92,120,0.04,0.11,0.15,0.04,0.15,0.04,0.11,0.15,0.04,0.15
2024,9,13,24/25,SC Freiburg,Galatasaray,6000000,15000000,Roland Sallai,HUN,"MF,FW",Freiburg,de Bundesliga,26,1997,27,22,1840,20.4,3,2,5,3,0,1,6,0,7.9,7.1,3.5,10.6,47,41,139,0.15,0.1,0.24,0.15,0.24,0.39,0.17,0.56,0.35,0.52
2024,9,12,24/25,UD Almería,Loko Moscow,6000000,3000000,César Montes,MEX,DF,Almería,es La Liga,26,1997,21,21,1788,19.9,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,7,52,2,0,0,0,0,0,0.04,0.01,0.04,0.04,0.04
2024,8,21,24/25,Man Utd,Panathinaikos,6000000,10000000,Facundo Pellistri,URU,"FW,MF",Manchester Utd,eng Premier League,21,2001,9,1,172,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.1,0.8,6,6,31,0,0.52,0.52,0,0.52,0.38,0.05,0.43,0.38,0.43
